timestamp,adjusted_arousal
0,2.6666666666666665
1,2.7777777777777772
2,2.888888888888889
3,3.0
4,2.888888888888889
5,2.7777777777777772
6,2.6666666666666665
7,2.6666666666666665
8,2.6666666666666665
9,2.6666666666666665
10,2.6666666666666665
11,2.6666666666666665
12,2.6666666666666665
13,2.7777777777777772
14,2.888888888888889
15,3.0
16,3.8888888888888893
17,4.777777777777778
18,5.666666666666667
19,5.111111111111111
20,4.555555555555556
21,4.0
22,3.888888888888889
23,3.7777777777777772
24,3.6666666666666665
25,3.555555555555556
26,3.444444444444444
27,3.3333333333333335
28,3.3333333333333335
29,3.3333333333333335
30,3.3333333333333335
31,3.444444444444444
32,3.5555555555555554
33,3.6666666666666665
34,3.5555555555555554
35,3.444444444444444
36,3.3333333333333335
37,3.444444444444444
38,3.5555555555555554
39,3.6666666666666665
40,3.6666666666666665
41,3.6666666666666665
42,3.6666666666666665
43,3.6666666666666665
44,3.6666666666666665
45,3.6666666666666665
46,3.5555555555555554
47,3.444444444444444
48,3.3333333333333335
49,3.444444444444444
50,3.5555555555555554
51,3.6666666666666665
52,3.6666666666666665
53,3.6666666666666665
54,3.6666666666666665
55,3.6666666666666665
56,3.6666666666666665
57,3.6666666666666665
58,3.6666666666666665
59,3.6666666666666665
60,3.6666666666666665
61,3.5555555555555554
62,3.444444444444444
63,3.3333333333333335
64,3.444444444444444
65,3.5555555555555554
66,3.6666666666666665
67,3.5555555555555554
68,3.444444444444444
69,3.3333333333333335
70,3.444444444444444
71,3.5555555555555554
72,3.6666666666666665
73,3.8888888888888893
74,4.111111111111111
75,4.333333333333333
76,4.444444444444444
77,4.555555555555556
78,4.666666666666667
79,4.555555555555556
80,4.444444444444444
81,4.333333333333333
82,4.111111111111112
83,3.888888888888889
84,3.6666666666666665
85,3.6666666666666665
86,3.6666666666666665
87,3.6666666666666665
88,3.5555555555555554
89,3.444444444444444
90,3.3333333333333335
91,3.3333333333333335
92,3.3333333333333335
93,3.3333333333333335
94,4.444444444444444
95,5.5555555555555545
96,6.666666666666667
97,6.444444444444444
98,6.222222222222222
99,6.0
100,5.777777777777779
101,5.5555555555555545
102,5.333333333333333
103,5.222222222222222
104,5.111111111111111
105,5.0
106,4.777777777777778
107,4.555555555555556
108,4.333333333333333
109,4.444444444444444
110,4.555555555555555
111,4.666666666666667
112,4.666666666666667
113,4.666666666666667
114,4.666666666666667
115,4.888888888888888
116,5.111111111111112
117,5.333333333333333
118,5.333333333333333
119,5.333333333333333
120,5.333333333333333
121,5.111111111111112
122,4.888888888888888
123,4.666666666666667
124,4.666666666666667
125,4.666666666666667
126,4.666666666666667
127,4.444444444444445
128,4.222222222222222
129,4.0
130,4.111111111111111
131,4.222222222222222
132,4.333333333333333
133,4.333333333333333
134,4.333333333333333
135,4.333333333333333
136,4.444444444444444
137,4.555555555555556
138,4.666666666666667
139,4.777777777777778
140,4.888888888888889
141,5.0
142,4.888888888888889
143,4.777777777777778
144,4.666666666666667
145,4.666666666666667
146,4.666666666666667
147,4.666666666666667
148,4.666666666666667
149,4.666666666666667
150,4.666666666666667
151,4.666666666666667
152,4.666666666666667
153,4.666666666666667
154,4.555555555555556
155,4.444444444444444
156,4.333333333333333
157,4.333333333333333
158,4.333333333333333
159,4.333333333333333
160,4.444444444444444
161,4.555555555555556
162,4.666666666666667
163,5.0
164,5.333333333333333
165,5.666666666666667
166,5.777777777777778
167,5.888888888888889
168,6.0
169,6.0
170,6.0
171,6.0
172,6.111111111111111
173,6.222222222222222
174,6.333333333333333
175,6.333333333333333
176,6.333333333333333
177,6.333333333333333
178,6.0
179,5.666666666666667
180,5.333333333333333
181,5.111111111111111
182,4.888888888888889
183,4.666666666666667
184,4.555555555555556
185,4.444444444444444
186,4.333333333333333
187,4.555555555555556
188,4.777777777777778
189,5.0
190,4.888888888888889
191,4.777777777777778
192,4.666666666666667
193,4.666666666666667
194,4.666666666666667
195,4.666666666666667
196,4.444444444444444
197,4.222222222222221
198,4.0
199,4.111111111111111
200,4.222222222222222
201,4.333333333333333
202,4.444444444444444
203,4.555555555555556
204,4.666666666666667
205,4.666666666666667
206,4.666666666666667
207,4.666666666666667
208,4.777777777777778
209,4.888888888888889
210,5.0
211,5.0
212,5.0
213,5.0
214,5.0
215,5.0
216,5.0
217,5.0
218,5.0
219,5.0
220,4.888888888888889
221,4.777777777777778
222,4.666666666666667
223,4.666666666666667
224,4.666666666666667
225,4.666666666666667
226,4.555555555555556
227,4.444444444444444
228,4.333333333333333
229,5.5555555555555545
230,6.777777777777778
231,8.0
232,7.777777777777779
233,7.5555555555555545
234,7.333333333333333
235,7.111111111111112
236,6.888888888888888
237,6.666666666666667
238,6.333333333333333
239,6.0
240,5.666666666666667
241,5.444444444444444
242,5.222222222222222
243,5.0
244,5.0
245,5.0
246,5.0
247,4.888888888888889
248,4.777777777777778
249,4.666666666666667
250,5.0
251,5.333333333333333
252,5.666666666666667
253,6.333333333333333
254,7.0
255,7.666666666666667
256,7.333333333333333
257,7.0
258,6.666666666666667
259,6.222222222222222
260,5.777777777777778
261,5.333333333333333
262,5.222222222222222
263,5.111111111111111
264,5.0
265,5.111111111111111
266,5.222222222222222
267,5.333333333333333
268,5.444444444444444
269,5.555555555555556
270,5.666666666666667
271,5.444444444444444
