PPG A0,PPG A1,event_code
645,690,
646,675,
645,656,
645,641,
631,627,
618,614,
602,601,
583,588,
570,574,
558,562,
541,550,
521,537,
507,524,
487,509,
474,497,
455,487,
440,476,
425,464,
412,452,
395,447,
381,436,
365,428,
352,420,
341,414,
329,411,
322,409,
312,406,
297,400,
293,399,
287,401,
279,402,
273,404,
266,406,
264,408,
264,415,
259,419,
256,425,
252,430,
255,433,
256,440,
258,446,
257,452,
261,458,
265,461,
269,468,
272,477,
272,478,
276,484,
277,486,
287,491,
285,497,
288,495,
291,495,
293,494,
296,495,
298,496,
299,497,
299,493,
303,492,
306,488,
307,487,
304,485,
304,480,
307,475,
308,470,
308,467,
303,462,
299,458,
300,449,
300,444,
300,441,
297,436,
292,430,
291,425,
286,417,
286,415,
281,412,
280,406,
278,400,
276,392,
271,392,
264,389,
263,383,
258,378,
256,374,
253,371,
249,368,
246,365,
243,359,
241,355,
239,356,
236,351,
231,352,
228,348,
228,345,
225,345,
225,343,
219,345,
217,341,
218,340,
217,339,
218,342,
212,340,
210,340,
209,340,
211,344,
207,344,
202,345,
204,346,
202,344,
202,346,
197,351,
198,352,
197,354,
194,354,
198,356,
202,360,
198,361,
196,363,
193,363,
197,367,
199,370,
197,373,
198,374,
202,376,
203,377,
204,380,
204,382,
204,385,
202,386,
206,386,
207,389,
205,392,
206,394,
210,392,
212,393,
213,396,
215,398,
213,397,
216,399,
216,397,
218,400,
221,401,
219,401,
220,399,
222,400,
223,400,
222,399,
220,400,
221,397,
221,398,
224,397,
223,400,
224,401,
221,400,
224,400,
224,402,
222,405,
219,407,
220,412,
222,421,
220,428,
226,442,
227,454,
230,472,
236,489,
243,512,
246,538,
256,567,
268,599,
283,630,
299,663,
314,698,
331,728,
349,763,
371,792,
394,823,
418,852,
441,880,
461,902,
487,920,
513,938,
535,956,
556,968,
573,976,
597,981,
617,983,
631,984,
643,980,
646,974,
646,966,
646,954,
646,943,
646,930,
646,916,
645,897,
646,879,
646,863,
646,843,
646,823,
646,805,
645,780,
646,763,
646,745,
645,724,
637,705,
630,683,
620,670,
607,654,
589,638,
577,622,
564,607,
551,592,
537,579,
522,568,
507,555,
495,542,
485,530,
470,519,
456,509,
443,497,
433,484,
421,472,
408,464,
392,453,
381,442,
370,434,
362,427,
348,419,
336,414,
326,410,
315,403,
310,399,
302,397,
288,394,
285,394,
278,391,
274,394,
266,399,
264,400,
257,403,
255,407,
258,412,
254,419,
253,425,
251,431,
256,436,
256,441,
254,452,
260,457,
263,464,
267,470,
272,474,
277,478,
279,485,
283,489,
287,492,
292,495,
294,499,
293,501,
297,502,
303,504,
305,502,
307,502,
308,505,
306,503,
310,504,
312,496,
315,496,
312,495,
316,490,
312,485,
316,481,
314,478,
312,475,
309,470,
307,463,
306,460,
309,455,
304,451,
302,447,
301,441,
301,436,
297,432,
290,427,
289,423,
282,416,
286,412,
283,406,
279,404,
271,400,
270,399,
266,392,
265,389,
262,387,
256,383,
255,380,
251,375,
251,375,
250,375,
243,369,
242,371,
240,367,
238,368,
239,369,
235,367,
231,367,
230,364,
231,364,
232,364,
228,366,
223,366,
223,367,
225,369,
224,367,
221,369,
221,369,
220,371,
223,371,
220,373,
223,375,
216,376,
215,377,
216,375,
215,379,
216,381,
210,380,
212,382,
211,381,
210,384,
211,386,
211,385,
209,385,
213,381,
211,384,
212,385,
207,387,
211,388,
213,389,
215,391,
216,392,
211,394,
214,392,
216,393,
215,398,
217,402,
218,406,
217,413,
222,419,
223,429,
221,442,
227,456,
232,472,
238,491,
248,513,
255,541,
260,567,
271,594,
287,625,
304,657,
317,691,
334,722,
353,755,
379,784,
402,816,
425,840,
447,868,
468,892,
491,913,
517,932,
540,948,
558,963,
575,972,
597,980,
617,983,
631,987,
643,985,
646,982,
646,974,
646,964,
645,956,
646,944,
645,932,
645,915,
645,899,
646,883,
646,867,
645,848,
646,828,
645,807,
645,789,
646,771,
646,751,
645,732,
645,709,
632,696,
621,679,
606,663,
595,646,
587,630,
567,616,
556,602,
542,587,
529,568,
515,558,
499,547,
488,534,
